,School,Zipcode
429,I.S. 125 Thom J. McCann Woodside,['11377']
430,I.S. 136 Charles O. Dewey,['11232']
431,I.S. 141 The Steinway,['11105']
432,I.S. 145 Joseph Pulitzer,['11372']
433,I.S. 171 Abraham Lincoln,['11208']
434,I.S. 181 Pablo Casals,['10475']
435,I.S. 192 The Linden,['11412']
436,I.S. 204 Oliver W. Holmes,['11106']
437,I.S. 206 Ann Mersereau,['10468']
438,I.S. 211 John Wilson,['11236']
439,I.S. 218 Salome Urena,['10040']
440,I.S. 219 New Venture School,['10456']
441,I.S. 227 Louis Armstrong,['11369']
442,I.S. 228 David A. Boody,['11223']
443,I.S. 229 Roland Patterson,['10453']
444,I.S. 230,['11372']
445,I.S. 232,['10453']
446,I.S. 237,['11355']
447,I.S. 238 - Susan B. Anthony Academy,['11423']
448,I.S. 250 The Robert F. Kennedy Community Middle Sc,['11366']
449,I.S. 254,['10458']
450,I.S. 281 Joseph B Cavallaro,['11214']
451,I.S. 285 Meyer Levin,['11203']
452,I.S. 289,['10282']
453,I.S. 303 Herbert S. Eisenberg,['11224']
454,I.S. 313 School of Leadership Development,['10457']
455,I.S. 318 Eugenio Maria De Hostos,['11206']
456,I.S. 339,['10457']
457,I.S. 340,['11238']
458,I.S. 347 School of Humanities,['11221']
459,I.S. 364 Gateway,['11239']
460,I.S. 392,['11212']
461,I.S. 49 Berta A. Dreyfus,['10304']
462,I.S. 5 - The Walter Crowley Intermediate School,['11373']
463,I.S. 528 Bea Fuller Rodgers School,['10033']
464,I.S. 584,['10455']
465,I.S. 73 - The Frank Sansivieri Intermediate School,['11378']
466,I.S. 98 Bay Academy,['11235']
467,Icahn Charter School,['10461']
468,Icahn Charter School 2,['10462']
469,Icahn Charter School 3,['10461']
470,Icahn Charter School 4,['10461']
471,Icahn Charter School 5,['10461']
472,Icahn Charter School 6,['10457']
473,Icahn Charter School 7,['10473']
474,Imagine Me Leadership Charter School,['11207']
475,In-Tech Academy (M.S. / High School 368),['10463']
476,Information Technology High School,['11101']
477,Innovation Diploma Plus,['10024']
478,Institute for Collaborative Education,['10003']
479,Institute for Health Professions at Cambria Height,['11411']
480,International Community High School,['10454']
481,International High School at LaGuardia Community C,['11101']
482,International High School at Lafayette,['11214']
483,International High School at Prospect Heights,['11225']
484,International High School at Union Square,['10003']
485,International High School for Health Sciences,['11373']
486,International Leadership Charter High School,['10463']
487,International School for Liberal Arts,['10468']
488,Invictus Preparatory Charter School,['11208']
489,Inwood Academy for Leadership Charter School,['10034']
490,Inwood Early College for Health and Information Te,['10034']
491,Irwin Altman Middle School 172,['11004']
492,Isaac Newton Middle School for Math & Science,['10029']
493,It Takes a Village Academy,['11203']
494,J. M. Rapport School Career Development,['10455']
495,J.H.S. 022 Jordan L. Mott,['10456']
496,J.H.S. 062 Ditmas,['11218']
497,J.H.S. 067 Louis Pasteur,['11362']
498,J.H.S. 078 Roy H. Mann,['11234']
499,J.H.S. 080 The Mosholu Parkway,['10467']
500,J.H.S. 104 Simon Baruch,['10010']
501,J.H.S. 118 William W. Niles,['10457']
502,J.H.S. 123 James M. Kieran,['10472']
503,J.H.S. 125 Henry Hudson,['10472']
504,J.H.S. 127 The Castle Hill,['10462']
505,J.H.S. 131 Albert Einstein,['10473']
506,J.H.S. 143 Eleanor Roosevelt,['10033']
507,J.H.S. 144 Michelangelo,['10469']
508,J.H.S. 151 Lou Gehrig,['10451']
509,J.H.S. 157 Stephen A. Halsey,['11374']
510,J.H.S. 162 The Willoughby,['11237']
511,J.H.S. 167 Robert F. Wagner,['10021']
512,J.H.S. 185 Edward Bleeker,['11354']
513,J.H.S. 189 Daniel Carter Beard,['11355']
514,J.H.S. 190 Russell Sage,['11375']
515,J.H.S. 194 William Carr,['11357']
516,J.H.S. 201 The Dyker Heights,['11228']
517,J.H.S. 202 Robert H. Goddard,['11417']
518,J.H.S. 210 Elizabeth Blackwell,['11421']
519,J.H.S. 216 George J. Ryan,['11365']
520,J.H.S. 217 Robert A. Van Wyck,['11435']
521,J.H.S. 218 James P. Sinnott,['11208']
522,J.H.S. 220 John J. Pershing,['11220']
523,J.H.S. 223 The Montauk,['11204']
524,J.H.S. 226 Virgil I. Grissom,['11420']
525,J.H.S. 227 Edward B. Shallow,['11204']
526,J.H.S. 278 Marine Park,['11229']
527,J.H.S. 291 Roland Hayes,['11221']
528,J.H.S. 292 Margaret S. Douglas,['11207']
529,J.H.S. 383 Philippa Schuyler,['11237']
530,Jacqueline Kennedy Onassis High School,['10036']
531,Jamaica Children's School,['11433']
532,Jamaica Gateway to the Sciences,['11432']
533,"James Baldwin School, The: A School for Expedition",['10011']
534,James Madison High School,['30092']
535,Jean Nuzzi Intermediate School,['11428']
536,Jill Chaifetz Transfer High School,['10456']
537,John Adams High School,['11417']
538,John Bowne High School,['11367']
539,John Dewey High School,['11223']
540,John Ericsson Middle School 126,['11222']
541,John Jay School for Law,['11215']
542,John V. Lindsay Wildcat Academy Charter School,['10004']
543,John W. Lavelle Preparatory Charter School,['10311']
544,Jonas Bronck Academy,['10458']
545,Juan Morel Campos Secondary School,['11206']
546,KAPPA IV,['10030']
547,KIPP AMP Charter School,['11213']
548,KIPP Infinity Charter School,['10027']
549,KIPP STAR College Prep Charter School,['10027']
550,KIPP Washington Heights Middle School,['10032']
551,Kappa III,['10460']
552,Kappa V (Knowledge and Power Preparatory Academy),['11212']
553,Khalil Gibran International Academy,['11217']
554,Kings Collegiate Charter School,['11212']
555,Kingsborough Early College School,['11214']
556,Kingsbridge International High School,['10468']
557,Knowledge and Power Preparatory Academy Internatio,['10458']
558,Knowledge and Power Preparatory Academy VI,['10458']
559,Kurt Hahn Expeditionary Learning School,['11203']
560,La Cima Charter School,['11221']
561,Landmark High School,['84660']
562,Launch Expeditionary Learning Charter School,['11213']
563,Leaders of Tomorrow,['10467']
564,Leadership Prep Bedford Stuyvesant Uncommon Prep C,['11216']
565,Leadership Preparatory Brownsville Charter School,['11212']
566,Leadership Preparatory Ocean Hill Charter School,['11212']
567,Leadership and Public Service High School,['10006']
568,Learners and Leaders,['11385']
569,Learning through Play Pre-K Center,['10454']
570,Legacy College Preparatory,['10454']
571,Leon M. Goldstein High School for the Sciences,['11235']
572,Liberation Diploma Plus,['11224']
573,Liberty Avenue Middle School,['11208']
574,Liberty High School Academy for Newcomers,['10011']
575,Life Academy High School for Film and Music,['11214']
576,Life Sciences Secondary School,['10128']
577,Lighthouse Elementary School,['33458']
578,Linden Tree Elementary School,['10462']
579,Long Island City High School,['11106']
580,Longwood Preparatory Academy,['10459']
581,Lower East Side Preparatory High School,['10002']
582,Lower Manhattan Arts Academy,['10002']
583,Lower Manhattan Community Middle School,['10004']
584,Lucero Elementary School,['10452']
585,Luisa Pineiro Fuentes School of Science and Discov,['10468']
586,Lyons Community School,['11206']
587,M.S. 035 Stephen Decatur,['11233']
588,M.S. 113 Ronald Edmonds Learning Center,['11205']
589,M.S. 129 Academy for Independent Learning and Lead,['10460']
590,M.S. 131,['10002']
591,M.S. 137 America's School of Heroes,"['10915', '11417']"
592,M.S. 158 Marie Curie,['11361']
593,M.S. 180 Dr. Daniel Hale Williams,['10475']
594,M.S. 224 Manhattan East School for Arts & Academic,['10029']
595,M.S. 243 Center School,['10024']
596,M.S. 250 West Side Collaborative Middle School,['10025']
597,M.S. 255 Salk School of Science,['10003']
598,"M.S. 267 Math, Science & Technology",['11238']
599,M.S. 301 Paul L. Dunbar,['10456']
600,M.S. 302 Luisa Dessus Cruz,['10455']
601,M.S. 319 - Maria Teresa,['10032']
602,M.S. 324 - Patria Mirabal,['10032']
603,M.S. 358,['11432']
604,M.S. 390,['10453']
605,M.S. 442 Carroll Gardens School for Innovation,['11215']
606,M.S. 51 William Alexander,['11215']
607,M.S. 582,['11206']
608,M.S. 839,['11218']
609,M.S. K266 - Park Place Community Middle School,['11217']
610,M.S. M245 The Computer School,['10024']
611,M.S. M247 Dual Language Middle School,['10024']
612,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,['90266']
613,MANHATTAN BUSINESS ACADEMY,['10011']
614,Madiba Prep Middle School,['11221']
615,"Magnet School of Math, Science and Design Technolo",['11215']
616,Manhattan / Hunter Science High School,['10023']
617,Manhattan Bridges High School,['10019']
618,Manhattan Center for Science and Mathematics,['10029']
619,Manhattan Charter School,['10002']
620,Manhattan Charter School II,['10002']
621,Manhattan Comprehensive Night and Day High School,['10003']
622,Manhattan Early College School for Advertising,['10038']
623,Manhattan International High School,['10065']
624,Manhattan School for Career Development,['10003']
625,Manhattan Village Academy,['10010']
626,Marble Hill High School for International Studies,['10463']
627,Mark Twain I.S. 239 for the Gifted & Talented,['11224']
628,Marsh Avenue School for Expeditionary Learning,['10314']
629,Marta Valle High School,['10002']
630,Martin Van Buren High School,['11427']
631,Maspeth High School,['11373']
632,"Mathematics, Science Research and Technology Magne",['11411']
633,Medgar Evers College Preparatory School,['11225']
634,Merrick Academy - Queens Public Charter School,['11413']
635,Metropolitan Expeditionary Learning School,['11375']
636,"Metropolitan High School, The",['10459']
637,Metropolitan Lighthouse Charter School,['10452']
638,Middle College High School at LaGuardia Community,['11101']
639,Middle School 322,['10040']
640,Middle School for Art and Philosophy,['11212']
641,Middle School of Marketing and Legal Studies,['11203']
642,Middle Village Prep Charter School,['11379']
643,Midwood High School,['11210']
644,Millennium Art Academy,['10473']
645,Millennium Brooklyn HS,['11215']
646,Millennium High School,"['14802', '85395']"
647,Milton Fein School,['10463']
648,Morris Academy for Collaborative Studies,['10456']
649,Mosaic Pre-K Center,['11373']
650,Mosaic Preparatory Academy,['10029']
651,Mott Hall Bridges Academy,['11212']
652,Mott Hall Bronx High School,['10457']
653,Mott Hall Charter School,['10456']
654,Mott Hall Community School,['10465']
655,Mott Hall High School,['10030']
656,Mott Hall II,['10025']
657,Mott Hall III,['10456']
658,Mott Hall IV,['11233']
659,Mott Hall V,['10472']
660,Mott Haven Academy Charter School,['10454']
661,Mott Haven Community High School,['10455']
662,Mott Haven Village Preparatory High School,['10455']
663,Mount Eden Children's Academy,['10452']
664,Multicultural High School,['11208']
665,Murray Hill Academy,['10016']
666,Murry Bergtraum High School for Business Careers,['10038']
667,Muscota,['10034']
668,N.Y.C. Lab School for Collaborative Studies,['10011']
669,N.Y.C. Museum School,['10011']
670,"NYC Charter High School for Architecture, Engineer",['10451']
